time,pnl,equity,side,enter,exit
2022-01-08 07:17:00+00:00,-3.4917914514948366e-05,9999.921727752771,1,y,
2022-01-08 07:18:00+00:00,-3.494294511131842e-05,9999.921692809827,-1,y,
2022-01-08 07:19:00+00:00,0.003965019404175988,9999.925657829232,1,,tp/sl
2022-01-08 07:19:00+00:00,-3.4947214521127325e-05,9999.925622882018,-1,y,
2022-01-08 07:20:00+00:00,-0.0030349635694093854,9999.922587918449,-1,,tp/sl
2022-01-08 07:20:00+00:00,-0.0030349647621826094,9999.919552953686,-1,,tp/sl
2022-01-08 07:20:00+00:00,-3.4984943491413905e-05,9999.919517968743,-1,y,
2022-01-08 07:21:00+00:00,-3.499531606995627e-05,9999.919482973428,-1,y,
2022-01-08 07:22:00+00:00,-3.4969673508635375e-05,9999.919448003755,1,y,
2022-01-08 07:24:00+00:00,0.00396496863971035,9999.923412972395,1,,tp/sl
2022-01-08 07:26:00+00:00,0.003965024333859611,9999.92737799673,-1,,tp/sl
